text,updateDt
No wonder jennie seems uncomfortable with seungri presence before Its shows on her face,2024-05-24
Now I'm mad!!!don't disrespect blackpink!,2024-05-24
indo penyepong artis idol korea terbanyak dan terfanatic...jd indo tetep jadi target bagi mereka jahat ttp di bela🤭,2024-05-28
Jd produser pnjht gt jg ntar memperkaos cwek lg....,2024-05-27
Plis lah jng diterima di indo,2024-05-25
Seungri kayaknya stlh bebas lngsng main ke bali dan ke rumah ralin syah. Kmrn lihat foto dan beritanya bgt. Aneh ya...bisa2nya ralin syah mau berteman sm penjahat kelamin. Amit2 jabang bayi,2024-05-25
Hajarrrrrrr !,2024-05-24
"Tp kyknya fans indo msh ada yg belain. Apa pun salahnya,ttp gak salah di mata fansnya",2024-05-24
Joon Young pernah tinggal di Jakarta kan?!?,2024-05-24
"Aku tidak begitu kenal mereka selain nama group band mereka. Tapi aku merasa marah, jijik dgn perlakuan mereka. Tolong kita semua warga Indonesia menolak keras jika salah satu dri mereka mau ke Indonesia. Krna aku tidak yakin mereka sudah bertobat.

Kalau si Jung Hoon jdi produser, aku ragu akan keselamatan artisnya yg diproduserin sma dia. Mengingat dia orang yg mengerikan.",2024-05-24
"Entah kenapa denger jd produser musik, jd tambah merinding dengerny..",2024-05-24
Kalau ketemu pun masih pada mnt foto sm para penjahat itu 🥲 & dengan bangganya di'up di sosmed 😭,2024-05-24
Hukum korea Beda banget ama jepang dan cina . Klo dijepang dan cina langsung diilangin,2024-05-23
Beratnya beban hidup manusia jaman now membuat manusia mudah memuja para good looking sebagai hiburan diri..,2024-05-23
Udh cacat...siapapun yg kerjasama dgn  2 Penjahat K*l*m*n itu  bakalan kena hujat...ngeriii,2024-05-23
Penyepong Plastik,2024-05-23
"Seungri..penjahat besar dan biadab...mastermind nya Women trafficking di kasus Burning Sun dan hanya di penjara 1,5 tahun...
Kasus Burning Sun, semoga bisa membuka mata bahwa negara KorSel ga seindah K-Drama.",2024-05-23
"Kalau aku tak setuju kalau mereka diterima lagi di dunia hiburan. 
Gak adil. Bagi korban pasti sudah trauma berat. Kalau lihat wajah mereka lagi pasti shock. Apa ada jaminan mereka sudah insaf?  Ku harap di Indonesia gak mau terima mereka.",2024-05-23
"Seungri kan katanya terakhir diundang ke kondangan di Malaysia. Rada jijik sama pernyataan sikap pas dia ke Thailand mau ngajak GD mentang2 beliau dekat sama abang naga.
Kalo skrg GD ga nganggap bang Victor bukan temannya ga papa sih, kudukung. Soalnya bang GD kadang suka kena jebakan betmen kek ada yg sengaja ngjatuhin reputasi dgn ngonsumsi ganja lah, apa lah, nambah temen 1 kek iblis kelakuannya bakal susah kariernya kedepan.
.
.
.
Soal JJY imigrasi, terserah aja tapi kemungkinan dia bakal nyari suaka ke Eropa. Ga mungkin ke Asia atau Australia, bisa jadi USA tapi kita liat aja apakah bisa diterima apa engga.
.
.
.
Soal pacar Hyuna, no komen yg jelas dia itu mantannya Goo Hara. Kita liat aja apakah kalo Hyuna kena kasus, dia bisa lindungi Hyuna atau nelantarin?",2024-05-23
btw seungri ke undangn siapa??,2024-05-23
