text,updateDt
"With the full version of CUB, i can't even imagine of how many versions and yedits will be of Can U Be, beacuse, let's be honest, that yapping from the begginig doesn't fit there and in my opinion i'd like the song to be longer. But ngl... This is history moment at music leaks 🇰🇪🐝",2024-05-27
"CAN YIPPEE!
CAN YIPPEE!
CAN YIPPEE!
CAN YIPPEE!
CAN YIPPEE!
CAN YIPPEE!
CAN YIPPEE!
CAN YIPPEE!
CAN YIPPEE!",2024-05-27
KENYA BEE,2024-05-27
Tf is that 1 minute intro bro,2024-05-27
Kanye bee 🐝,2024-05-27
"🇰🇪 🐝 
🇰🇪 🐝 
🇰🇪 🐝 
🇰🇪 🐝",2024-05-27
fan edits better imo w never let me go as the intro and forever mitus as the outro,2024-05-27
2010 kanye vibes,2024-05-27
JUST FOUND OUT MY FATHER IN LAW UNISEX🔥🔥🔥,2024-05-27
real,2024-05-27
"CAN U LEAK
CAN U LEAK
CAN U LEAK
CAN U LEAK
CAN U LEAK
CAN U LEAK
CAN U LEAK
CAN U LEAK
CAN U LEAK",2024-05-27
THIS IS HAPPENING!!!,2024-05-27
Im so glad this was the first time I did a groupbuy,2024-05-27
I'M GOING CRAZY AS JESUS IM GOING BETHLE-HAM 🔥🔥🔥,2024-05-27
is the beginning a pharrell tag?,2024-05-27
this song is just not good at all top 5 worst ye,2024-05-27
Damn this is huge lets fucking go 🙏🙏🙏,2024-05-27
now we just need Living So Italian 🤞,2024-05-27
